proposal_id,y_true,y_pred,pred_conf,P_pass,stance_mean,n_posts,title_snippet,body_snippet
0x192a24fd2b3e1860ce4570c0773d82ab895d27cabf48dddd9bafba7e4e13851e,0,2,0.8441343162091596,0.9092164,0.08676168220848761,16,[ARFC] Upgrade Aave V3 ETH pool wETH parameters,"## Summary

A proposal to make parameter changes on Aave V3 Ethereum. For more details, see the full forum post [here](https://governance.aave.com/t/arfc-upgrade-aave-v3-eth-pool-w…"
0xe3a29b7d6d936a22ee340811f842a29e4be654e08972f53f43dde7748c722195,0,2,0.7903219563579885,0.8372896,0.16552238418756288,7,[ARFC] LT/LTV Reductions on Aave V2 Stablecoins,"# Summary

A proposal to reduce LT and LTV for USDC on Aave V2

# Motivation

Following our [ongoing reduction](https://governance.aave.com/t/generalized-lt-ltv-reduction-on-aave/1…"
0x34a735f4cbb0c91febe9e26a974811737b656fde16c82310073a821d3a654304,1,0,0.732606596800159,0.2672866,0.2569850259861409,10,[ARFC] Gauntlet - Synchronicity Price Adapter “Killswitch” Functionality for LST Emode,"## Summary

Given limitations in the current CSPA 2.0, Aave v3 faces insolvency risks in the scenario of severe price dislocations between LST market price and LST smart contract p…"
0x512d69e2f0827112f58c592affbcf5e14367645ce2f501a2429eb01cfba73b57,2,1,0.7294001037867981,0.51232505,0.1400559855474008,46,Community Guardian renewal,"The Aave V3 markets with the exception of the Polygon market are currently operated by a community guardian 6/10 multisig composed of members of the DeFi community.

The community …"
0xab2381e2fcda147ec0ab8417a09c0a6188fce034c12d0c0c42a43b8cbbea8db4,2,0,0.7222062153112805,0.4172725,0.12610424000837966,5,[ARC] Gauntlet Risk Parameter Updates for Avalanche Aave V3 (2023-02-16),"## Simple Summary
Gauntlet's risk simulation platform has identified an opportunity to modify liquidation bonus on one (1) Aave V3 AVAX asset without adding outsized market risk.

…"
0x05182d6092e7a075b94ab937a6cd57968f36c6ac225196561a58b437e591065f,2,1,0.711915413039913,0.4486685,0.0033382980136184045,14,[ARFC] Deploy BAL & aBAL from the Collector Contract,"---

[ARFC] Deploy BAL & aBAL from the Collector Contract
Author: @llamaxyz - DeFi_Consulting (@MatthewGraham) and @dydymoon
Created: 2023-02-05 (updated)

---

# Simple Summary

T…"
0x22621f3f49e99270faf063d41bc894862052f053c020991a85b973fe2d50bbdf,0,1,0.652748048003215,0.40270162,0.07809538098435909,16,[TEMP CHECK] Aave Decentralized Acqui-Hire Framework,"**Title**: Aave Permissionless Acqui-Hire Framework.
**Author**: DAO Merger.
**Date**: 2025-03-17

**Summary**: In a Darwinian world with (too) many tokens, there should be a way t…"
0x2aed7eb8b03cb3f961cbf790bf2e2e1e449f841a4ad8bdbcdd223bb6ac69e719,2,0,0.6493517899734413,0.577275,0.233396664353409,35,[ARFC] Launch GHO on Avalanche & set ACI as Emissions Manager for rewards,"## Author: ACI

## Date: 2024-10-07

----------
> ARFC has been updated with latest Risk Parameters provided by Risk Service Providers. 2024-10-11

---


# **Summary**

This propos…"
0x0341f4050ed20182c2c344fb370d958f8f77f7035c4783408dd0f962b7d39544,0,2,0.6350251366326122,0.8696679,0.1406424543887291,52,[TEMP CHECK] AAVE Treasury Proposal for RWA Allocation with Maple Finance ,"---

Title: [TEMP CHECK] AAVE Treasury Proposal for RWA Allocation with Maple Finance 

Author: @Maple_Direct

Created: 2023-11-20

---

# Summary

Maple Finance would like to prop…"
0x1a9deb5c46818aad1a128e65821ecab82fe8c9e01b82551b080f4059f871e91e,2,0,0.6348700413440886,0.45807144,0.33402040885512235,2,[ARFC] Receipt of Gauntlet Insolvency Fund,"---

Title: [ARFC] Receipt of Gauntlet Insolvency Fund
Author: @llamaxyz
Dated: 2022-11-06

---


# Simple Summary

Llama proposes that Gauntlet's Insolvency Fund be transferred to…"
